"Var1","Freq"
"THUNDERSTORM WIND/ TREES",4
"THUNDERSTORM WIND/AWNING",1
"THUNDERSTORM WIND/HAIL",1
"THUNDERSTORM WIND/LIGHTNING",1
"THUNDERSTORM WINDS",11692
"THUNDERSTORM WINDS 13",1
"THUNDERSTORM WINDS 63 MPH",1
"THUNDERSTORM WINDS AND",1
"THUNDERSTORM WINDS HAIL",36
"THUNDERSTORM WINDS LIGHTNING",6
"THUNDERSTORM WINDS.",1
"THUNDERSTORM WINDS/ FLOOD",2
"THUNDERSTORM WINDS/FLOODING",1
"THUNDERSTORM WINDS/FUNNEL CLOU",1
"THUNDERSTORM WINDS/HAIL",21
"THUNDERSTORM WINDS53",1
"THUNDERSTORM WINDSHAIL",1
"THUNDERSTORM WINDSS",31
"THUNDERSTORM WINS",1
"THUNDERSTORMS",1
"THUNDERSTORMS WIND",3
"THUNDERSTORMS WINDS",6
"THUNDERSTORMW",1
"THUNDERSTORMWINDS",1
"THUNDERSTROM WIND",1
"THUNDERTORM WINDS",3
"THUNERSTORM WINDS",1
"TIDAL FLOODING",3
"TORNADO",39024
"TORNADO F0",5
"TORNADO F1",4
"TORNADO F2",2
"TORNADO F3",2
"TORNADOES, TSTM WIND, HAIL",1
"TORNDAO",1
"TROPICAL DEPRESSION",35
"TROPICAL STORM",396
"TROPICAL STORM ALBERTO",1
"TROPICAL STORM DEAN",1
"TROPICAL STORM GORDON",1
"TROPICAL STORM JERRY",2
"TSTM WIND",60487
"TSTM WIND  (G45)",1
"TSTM WIND (41)",1
"TSTM WIND (G35)",1
"TSTM WIND (G40)",9
"TSTM WIND (G45)",36
"TSTM WIND 40",1
"TSTM WIND 45",1
"TSTM WIND 55",2
"TSTM WIND 65)",1
"TSTM WIND AND LIGHTNING",1
"TSTM WIND DAMAGE",1
"TSTM WIND G45",1
"TSTM WIND G58",1
"TSTM WIND/HAIL",382
"TSTM WINDS",5
"TSTMW",1
"TSUNAMI",14
"TUNDERSTORM WIND",1
"TYPHOON",9
"URBAN AND SMALL",1
"URBAN FLOOD",139
"URBAN FLOODING",80
"URBAN FLOODS",2
"URBAN SMALL",1
"URBAN/SMALL STREAM",1
"URBAN/SMALL STREAM FLOOD",9
"URBAN/SML STREAM FLD",670
"VOLCANIC ASH",2
"WATERSPOUT",45
"WATERSPOUT-",7
"WATERSPOUT-TORNADO",1
"WATERSPOUT TORNADO",1
"WATERSPOUT/ TORNADO",1
"WATERSPOUT/TORNADO",6
"WET MICROBURST",3
"WHIRLWIND",2
"WILD FIRES",4
"WILD/FOREST FIRE",310
"WILD/FOREST FIRES",1
"WILDFIRE",733
"WILDFIRES",3
"WIND",55
"WIND AND WAVE",1
"WIND DAMAGE",8
"WIND STORM",1
"WIND/HAIL",1
"WINDS",16
"WINTER STORM",1386
"WINTER STORM HIGH WINDS",1
"WINTER STORMS",1
"WINTER WEATHER",373
"WINTER WEATHER MIX",1
"WINTER WEATHER/MIX",122
"WINTRY MIX",2
